"No.","Time","Source","Destination","Protocol","Info"
"278","118.950825","192.168.1.33","192.168.1.17","TCP","bgp > 51661 [ACK] Seq=111 Ack=647 Win=16384 Len=0"
"279","118.953890","192.168.1.17","192.168.1.33","BGP","UPDATE Message"
"280","118.954346","192.168.1.17","192.168.1.33","BGP","UPDATE Message"
"281","119.049499","192.168.1.33","192.168.1.17","BGP","UPDATE Message, UPDATE Message, UPDATE Message, UPDATE Message"
"282","119.050759","192.168.1.17","192.168.1.33","TCP","51661 > bgp [ACK] Seq=785 Ack=555 Win=16384 Len=0"
"283","119.061721","192.168.1.17","192.168.1.33","BGP","UPDATE Message"
"284","119.130118","150.1.11.17","150.1.11.18","TCP","46428 > bgp [ACK] Seq=147 Ack=185 Win=16200 Len=0"
"285","119.174245","150.1.11.49","150.1.11.50","TCP","38417 > bgp [ACK] Seq=147 Ack=185 Win=16200 Len=0"
"286","119.277086","192.168.1.33","192.168.1.17","TCP","bgp > 51661 [ACK] Seq=555 Ack=862 Win=16169 Len=0"
"287","119.646797","192.168.1.50","224.0.0.10","EIGRP","Hello"
"288","121.208043","192.168.1.49","224.0.0.10","EIGRP","Hello"
"289","121.249302","192.168.1.50","224.0.0.2","LDP","Hello Message "
"290","122.864433","","","Q.933","STATUS ENQUIRY"
"291","122.865623","","","Q.933","STATUS"
"292","122.959408","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"293","123.186250","192.168.1.49","224.0.0.2","LDP","Hello Message "
"294","124.233101","192.168.1.50","224.0.0.10","EIGRP","Hello"
"295","125.638818","192.168.1.50","224.0.0.2","LDP","Hello Message "
"296","126.016622","192.168.1.49","224.0.0.10","EIGRP","Hello"
"297","127.204151","192.168.1.49","224.0.0.2","LDP","Hello Message "
"298","129.144471","192.168.1.50","224.0.0.10","EIGRP","Hello"
"299","129.556254","192.168.1.50","224.0.0.2","LDP","Hello Message "
"300","130.611581","192.168.1.49","224.0.0.10","EIGRP","Hello"
"301","131.200667","192.168.1.49","224.0.0.2","LDP","Hello Message "
"302","132.833086","","","Q.933","STATUS ENQUIRY"
"303","132.835678","","","Q.933","STATUS"
"304","132.961336","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"305","133.180645","150.1.11.34","150.1.11.33","BGP","UPDATE Message, UPDATE Message"
"306","133.381230","150.1.11.33","150.1.11.34","TCP","bgp > 45891 [ACK] Seq=152 Ack=185 Win=16200 Len=0"
"307","134.058476","192.168.1.50","224.0.0.10","EIGRP","Hello"
"308","134.450137","192.168.1.50","224.0.0.2","LDP","Hello Message "
"309","134.996202","192.168.1.49","224.0.0.10","EIGRP","Hello"
"310","135.111282","192.168.1.49","224.0.0.2","LDP","Hello Message "
"311","138.598028","150.1.11.49","150.1.11.50","BGP","KEEPALIVE Message"
"312","138.598782","150.1.11.50","150.1.11.49","BGP","KEEPALIVE Message"
"313","138.718238","150.1.11.49","150.1.11.50","BGP","UPDATE Message"
"314","138.858946","192.168.1.50","224.0.0.10","EIGRP","Hello"
"315","138.941496","150.1.11.50","150.1.11.49","TCP","bgp > 38417 [ACK] Seq=204 Ack=233 Win=16152 Len=0"
"316","139.374246","192.168.1.50","224.0.0.2","LDP","Hello Message "
"317","139.614516","192.168.1.49","224.0.0.10","EIGRP","Hello"
"318","139.902652","192.168.1.49","224.0.0.2","LDP","Hello Message "
"319","140.257073","150.1.11.33","150.1.11.34","BGP","KEEPALIVE Message"
"320","140.258943","150.1.11.34","150.1.11.33","BGP","KEEPALIVE Message"
"321","140.462576","150.1.11.33","150.1.11.34","TCP","bgp > 45891 [ACK] Seq=171 Ack=204 Win=16181 Len=0"
"322","142.844124","","","Q.933","STATUS ENQUIRY"
"323","142.845286","","","Q.933","STATUS"
"324","142.924204","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"325","143.574165","192.168.1.50","224.0.0.10","EIGRP","Hello"
"326","143.845255","150.1.11.17","150.1.11.18","BGP","KEEPALIVE Message"
"327","143.848209","150.1.11.18","150.1.11.17","BGP","KEEPALIVE Message"
"328","143.914995","192.168.1.49","224.0.0.10","EIGRP","Hello"
"329","143.980588","192.168.1.50","224.0.0.2","LDP","Hello Message "
